temporada,id_partido,fecha,fecha_partido,nombre_equipo_local,nombre_equipo_visitante,goles_equipo_local,goles_equipo_visitante,puntos_acumulados_local,wins_last10_local,draws_last10_local,losses_last10_local,goles_favor_last10_local,goles_contra_last10_local,current_win_streak_local,current_loss_streak_local,puntos_ultimos5_local,goles_favor_ultimos5_local,goles_contra_ultimos5_local,prom_goles_favor_ultimos5_local,prom_goles_contra_ultimos5_local,clean_sheets_last10_local,btts_last10_local,over25_last10_local,clean_sheets_last5_local,btts_last5_local,over25_last5_local,home_win_rate_local,away_win_rate_local,puntos_acumulados_visitante,wins_last10_visitante,draws_last10_visitante,losses_last10_visitante,goles_favor_last10_visitante,goles_contra_last10_visitante,current_win_streak_visitante,current_loss_streak_visitante,puntos_ultimos5_visitante,goles_favor_ultimos5_visitante,goles_contra_ultimos5_visitante,prom_goles_favor_ultimos5_visitante,prom_goles_contra_ultimos5_visitante,clean_sheets_last10_visitante,btts_last10_visitante,over25_last10_visitante,clean_sheets_last5_visitante,btts_last5_visitante,over25_last5_visitante,home_win_rate_visitante,away_win_rate_visitante,head2head_local_wins,head2head_local_draws,head2head_local_losses,head2head_visitante_wins,head2head_visitante_draws,head2head_visitante_losses,puntos_balance,goles_balance,posicion_tabla_local,posicion_tabla_visitante,diff_posicion_tabla,dias_descanso_local,dias_descanso_visitante,diff_dias_descanso,elo_rating_local,elo_rating_visitante,diff_elo_rating,valor_mercado_local,valor_mercado_visitante,jugadores_lesionados_local,jugadores_lesionados_visitante,titulares_sancionados_local,titulares_sancionados_visitante
2024,1208021,1,Fecha inválida,Manchester United,Fulham,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,15,4,1,1,4,15,0,0,14,17,-3,0,0,0,1533,1536,-3,53000000,56000000,0,0,1,0
2024,1208022,1,Fecha inválida,Ipswich,Liverpool,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,1,0,0,0,18,1,17,0,0,0,1557,1540,17,57000000,50000000,0,1,1,0
2024,1208025,1,Fecha inválida,Newcastle,Southampton,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,12,6,6,6,6,12,0,0,15,2,13,0,0,0,1534,1541,-7,54000000,51000000,1,2,0,1
2024,1208023,1,Fecha inválida,Arsenal,Wolves,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,11,4,3,3,4,11,0,0,3,20,-17,0,0,0,1542,1539,3,52000000,59000000,0,0,0,1
2024,1208024,1,Fecha inválida,Everton,Brighton,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,5,5,5,5,6,0,0,6,12,-6,0,0,0,1545,1551,-6,55000000,51000000,0,0,1,1
2024,1208026,1,Fecha inválida,Nottingham Forest,Bournemouth,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,6,6,6,6,2,0,0,6,16,-10,0,0,0,1565,1535,30,55000000,55000000,2,2,1,1
2024,1208027,1,Fecha inválida,West Ham,Aston Villa,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,8,8,7,7,8,8,0,0,9,7,2,0,0,0,1548,1566,-18,58000000,56000000,0,0,0,0
2024,1208028,1,Fecha inválida,Brentford,Crystal Palace,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,6,1,1,6,1,0,0,16,13,3,0,0,0,1555,1552,3,55000000,52000000,1,1,1,0
2024,1208029,1,Fecha inválida,Chelsea,Manchester City,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,12,6,24,24,6,12,0,0,10,11,-1,0,0,0,1549,1550,-1,59000000,50000000,1,2,1,0
2024,1208030,1,Fecha inválida,Leicester,Tottenham,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,6,12,12,6,6,0,0,7,8,-1,0,0,0,1546,1547,-1,56000000,57000000,1,2,0,1
