temporada,id_partido,fecha,fecha_partido,nombre_equipo_local,nombre_equipo_visitante,goles_equipo_local,goles_equipo_visitante,puntos_acumulados_local,wins_last10_local,draws_last10_local,losses_last10_local,goles_favor_last10_local,goles_contra_last10_local,current_win_streak_local,current_loss_streak_local,puntos_ultimos5_local,goles_favor_ultimos5_local,goles_contra_ultimos5_local,prom_goles_favor_ultimos5_local,prom_goles_contra_ultimos5_local,clean_sheets_last10_local,btts_last10_local,over25_last10_local,clean_sheets_last5_local,btts_last5_local,over25_last5_local,home_win_rate_local,away_win_rate_local,puntos_acumulados_visitante,wins_last10_visitante,draws_last10_visitante,losses_last10_visitante,goles_favor_last10_visitante,goles_contra_last10_visitante,current_win_streak_visitante,current_loss_streak_visitante,puntos_ultimos5_visitante,goles_favor_ultimos5_visitante,goles_contra_ultimos5_visitante,prom_goles_favor_ultimos5_visitante,prom_goles_contra_ultimos5_visitante,clean_sheets_last10_visitante,btts_last10_visitante,over25_last10_visitante,clean_sheets_last5_visitante,btts_last5_visitante,over25_last5_visitante,home_win_rate_visitante,away_win_rate_visitante,head2head_local_wins,head2head_local_draws,head2head_local_losses,head2head_visitante_wins,head2head_visitante_draws,head2head_visitante_losses,puntos_balance,goles_balance,posicion_tabla_local,posicion_tabla_visitante,diff_posicion_tabla,dias_descanso_local,dias_descanso_visitante,diff_dias_descanso,elo_rating_local,elo_rating_visitante,diff_elo_rating,valor_mercado_local,valor_mercado_visitante,jugadores_lesionados_local,jugadores_lesionados_visitante,titulares_sancionados_local,titulares_sancionados_visitante
2024,1252120,1,16/08/2024,Dijon,Bourg-en-bresse 01,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,2,3,3,2,2,0,0,10,11,-1,0,0,0,1589,1530,59,59000000,50000000,2,1,1,0
2024,1252113,1,16/08/2024,Nimes,Orleans,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,4,4,5,5,4,4,0,0,13,4,9,0,0,0,1592,1503,89,52000000,53000000,2,1,0,1
2024,1252114,1,16/08/2024,Valenciennes,Aubagne,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,1,1,0,0,6,11,-5,0,0,0,1505,1530,-25,55000000,50000000,0,0,1,0
2024,1252121,1,16/08/2024,Chateauroux,Boulogne,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5,4,3,3,4,5,0,0,8,20,-12,0,0,0,1507,1599,-92,57000000,59000000,2,0,1,1
2024,1252119,1,16/08/2024,Sochaux,Quevilly,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,5,1,1,5,2,0,0,16,12,4,0,0,0,1515,1531,-16,55000000,51000000,1,2,1,1
2024,1252116,1,16/08/2024,Concarneau,Gobelins,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,2,0,0,2,2,0,0,1,19,-18,0,0,0,1500,1538,-38,50000000,58000000,1,1,0,0
2024,1252115,1,16/08/2024,Rouen,Nancy,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,2,2,2,0,0,0,2,3,-1,0,0,0,1521,1502,19,51000000,52000000,2,0,1,0
2024,1252117,1,19/08/2024,Versailles,Le Mans,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,4,1,1,4,2,0,0,12,19,-7,0,0,0,1531,1598,-67,51000000,58000000,2,2,1,0
2024,1252130,2,23/08/2024,Nimes,Chateauroux,1,0,0,0,0,1,1,2,0,1,0,1,2,1.0,2.0,0,1,1,0,1,1,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0.0,1.0,0,0,0,0,0,0,0.0,0.0,6,4,5,5,4,6,0,0,13,8,5,7,7,0,1592,1507,85,52000000,57000000,2,2,0,1
2024,1252127,2,23/08/2024,Nancy,Concarneau,3,0,1,0,1,0,2,2,0,0,1,2,2,2.0,2.0,0,1,1,0,1,1,0.0,0.0,3,1,0,0,2,0,1,0,3,2,0,2.0,0.0,1,0,0,1,0,0,1.0,0.0,2,1,1,1,1,2,-2,-2,3,1,2,7,7,0,1502,1500,2,52000000,50000000,0,1,0,0
2024,1252123,2,23/08/2024,Quevilly,Dijon,2,1,0,0,0,1,0,2,0,1,0,0,2,0.0,2.0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0.0,1.0,0,0,0,0,0,0,0.0,0.0,3,3,1,1,3,3,0,-1,12,10,2,7,7,0,1531,1589,-58,51000000,59000000,2,2,1,1
