temporada,id_partido,fecha,fecha_partido,nombre_equipo_local,nombre_equipo_visitante,goles_equipo_local,goles_equipo_visitante,puntos_acumulados_local,wins_last10_local,draws_last10_local,losses_last10_local,goles_favor_last10_local,goles_contra_last10_local,current_win_streak_local,current_loss_streak_local,puntos_ultimos5_local,goles_favor_ultimos5_local,goles_contra_ultimos5_local,prom_goles_favor_ultimos5_local,prom_goles_contra_ultimos5_local,clean_sheets_last10_local,btts_last10_local,over25_last10_local,clean_sheets_last5_local,btts_last5_local,over25_last5_local,home_win_rate_local,away_win_rate_local,puntos_acumulados_visitante,wins_last10_visitante,draws_last10_visitante,losses_last10_visitante,goles_favor_last10_visitante,goles_contra_last10_visitante,current_win_streak_visitante,current_loss_streak_visitante,puntos_ultimos5_visitante,goles_favor_ultimos5_visitante,goles_contra_ultimos5_visitante,prom_goles_favor_ultimos5_visitante,prom_goles_contra_ultimos5_visitante,clean_sheets_last10_visitante,btts_last10_visitante,over25_last10_visitante,clean_sheets_last5_visitante,btts_last5_visitante,over25_last5_visitante,home_win_rate_visitante,away_win_rate_visitante,head2head_local_wins,head2head_local_draws,head2head_local_losses,head2head_visitante_wins,head2head_visitante_draws,head2head_visitante_losses,puntos_balance,goles_balance,posicion_tabla_local,posicion_tabla_visitante,diff_posicion_tabla,dias_descanso_local,dias_descanso_visitante,diff_dias_descanso,elo_rating_local,elo_rating_visitante,diff_elo_rating,valor_mercado_local,valor_mercado_visitante,jugadores_lesionados_local,jugadores_lesionados_visitante,titulares_sancionados_local,titulares_sancionados_visitante
2023,1037952,1,Fecha inválida,Almeria,Rayo Vallecano,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5,1,10,10,1,5,0,0,4,9,-5,0,0,0,1523,1528,-5,53000000,58000000,0,2,1,0
2023,1037956,1,Fecha inválida,Sevilla,Valencia,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,13,10,8,8,10,13,0,0,17,13,4,0,0,0,1536,1532,4,56000000,52000000,2,1,0,0
2023,1037960,1,Fecha inválida,Real Sociedad,Girona,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,3,7,0,0,7,3,0,0,9,8,1,0,0,0,1548,1547,1,58000000,57000000,2,1,0,1
2023,1037957,1,Fecha inválida,Las Palmas,Mallorca,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,4,3,3,4,1,0,0,15,19,-4,0,0,0,1534,1598,-64,54000000,58000000,0,0,0,0
2023,1037953,1,Fecha inválida,Athletic Club,Real Madrid,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,4,7,22,22,7,4,0,0,12,2,10,0,0,0,1531,1541,-10,51000000,51000000,0,1,1,1
2023,1037955,1,Fecha inválida,Celta Vigo,Osasuna,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,6,6,6,6,6,0,0,19,8,11,0,0,0,1538,1527,11,58000000,57000000,1,1,0,1
2023,1037959,1,Fecha inválida,Villarreal,Real Betis,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,10,6,8,8,6,10,0,0,14,4,10,0,0,0,1533,1543,-10,53000000,53000000,2,0,1,1
2023,1037958,1,Fecha inválida,Getafe,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,7,19,19,7,2,0,0,7,10,-3,0,0,0,1546,1529,17,56000000,59000000,0,1,0,1
2023,1037961,1,Fecha inválida,Cadiz,Alaves,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,3,1,2,2,1,3,0,0,5,3,2,0,0,0,1524,1542,-18,54000000,52000000,1,2,0,0
2023,1037954,1,Fecha inválida,Atletico Madrid,Granada CF,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,15,4,1,1,4,15,0,0,11,16,-5,0,0,0,1530,1515,15,50000000,55000000,2,1,0,1
