temporada,id_partido,fecha,fecha_partido,nombre_equipo_local,nombre_equipo_visitante,goles_equipo_local,goles_equipo_visitante,puntos_acumulados_local,wins_last10_local,draws_last10_local,losses_last10_local,goles_favor_last10_local,goles_contra_last10_local,current_win_streak_local,current_loss_streak_local,puntos_ultimos5_local,goles_favor_ultimos5_local,goles_contra_ultimos5_local,prom_goles_favor_ultimos5_local,prom_goles_contra_ultimos5_local,clean_sheets_last10_local,btts_last10_local,over25_last10_local,clean_sheets_last5_local,btts_last5_local,over25_last5_local,home_win_rate_local,away_win_rate_local,puntos_acumulados_visitante,wins_last10_visitante,draws_last10_visitante,losses_last10_visitante,goles_favor_last10_visitante,goles_contra_last10_visitante,current_win_streak_visitante,current_loss_streak_visitante,puntos_ultimos5_visitante,goles_favor_ultimos5_visitante,goles_contra_ultimos5_visitante,prom_goles_favor_ultimos5_visitante,prom_goles_contra_ultimos5_visitante,clean_sheets_last10_visitante,btts_last10_visitante,over25_last10_visitante,clean_sheets_last5_visitante,btts_last5_visitante,over25_last5_visitante,home_win_rate_visitante,away_win_rate_visitante,head2head_local_wins,head2head_local_draws,head2head_local_losses,head2head_visitante_wins,head2head_visitante_draws,head2head_visitante_losses,puntos_balance,goles_balance,posicion_tabla_local,posicion_tabla_visitante,diff_posicion_tabla,dias_descanso_local,dias_descanso_visitante,diff_dias_descanso,elo_rating_local,elo_rating_visitante,diff_elo_rating,valor_mercado_local,valor_mercado_visitante,jugadores_lesionados_local,jugadores_lesionados_visitante,titulares_sancionados_local,titulares_sancionados_visitante
2024,1249339,1,Fecha inválida,Feralpisalo,Novara,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,2,1,1,1,1,2,0,0,5,14,-9,0,0,0,1584,1513,71,54000000,53000000,2,0,0,1
2024,1249345,1,Fecha inválida,Triestina,Arzignano Valchiampo,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,4,2,3,3,2,4,0,0,18,19,-1,0,0,0,1577,1578,-1,57000000,58000000,1,0,1,0
2024,1249337,1,Fecha inválida,Albinoleffe,Caldiero Terme,2,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,1,1,0,1,0,0,20,6,14,0,0,0,1579,1565,14,59000000,55000000,0,0,1,1
2024,1249338,1,Fecha inválida,Atalanta II,Alcione,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,1,1,0,1,0,0,5,5,0,0,0,0,1504,1524,-20,54000000,54000000,0,1,0,0
2024,1249343,1,Fecha inválida,Pro Patria,Renate,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,4,5,5,5,5,4,0,0,7,16,-9,0,0,0,1506,1575,-69,56000000,55000000,2,2,0,1
2024,1249346,1,Fecha inválida,Virtus Verona,Lumezzane,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,3,3,0,1,0,0,8,10,-2,0,0,0,1507,1589,-82,57000000,59000000,0,0,1,1
2024,1249341,1,Fecha inválida,Lecco,Clodiense,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,1,1,0,0,20,10,10,0,0,0,1579,1569,10,59000000,59000000,1,1,1,1
2024,1249340,1,Fecha inválida,Vicenza Virtus,Giana Erminio,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,3,3,0,0,3,3,0,0,5,6,-1,0,0,0,1584,1565,19,54000000,55000000,0,1,0,1
2024,1249344,1,Fecha inválida,PRO Vercelli,Pergolettese,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,5,4,5,5,4,5,0,0,7,1,6,0,0,0,1526,1580,-54,56000000,50000000,1,2,0,0
2024,1249342,1,Fecha inválida,Padova,Trento,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,6,2,0,0,2,6,0,0,11,8,3,0,0,0,1570,1547,23,50000000,57000000,0,2,0,1
2024,1249347,2,Fecha inválida,Alcione,Virtus Verona,0,0,3,1,0,0,2,1,1,0,3,2,1,2.0,1.0,0,1,1,0,1,1,0.0,1.0,0,0,0,1,0,1,0,1,0,0,1,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,1,1,1,1,0,3,2,5,8,-3,6,5,1,1524,1507,17,54000000,57000000,1,0,0,1
2024,1249350,2,Fecha inválida,Giana Erminio,Pro Patria,1,1,1,0,1,0,2,2,0,0,1,2,2,2.0,2.0,0,1,1,0,1,1,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0.0,1.0,0,0,0,0,0,0,0.0,0.0,2,4,4,4,4,2,1,1,6,7,-1,5,6,-1,1565,1506,59,55000000,56000000,1,2,1,0
2024,1249354,2,Fecha inválida,Renate,Feralpisalo,1,0,3,1,0,0,1,0,1,0,3,1,0,1.0,0.0,1,0,0,1,0,0,0.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,5,2,3,3,2,5,2,1,16,5,11,6,7,-1,1575,1584,-9,55000000,54000000,2,2,1,0
2024,1249356,2,Fecha inválida,Clodiense,Triestina,1,0,0,0,0,1,0,1,0,1,0,0,1,0.0,1.0,0,0,0,0,0,0,0.0,0.0,3,1,0,0,3,0,1,0,3,3,0,3.0,0.0,1,0,1,1,0,1,1.0,0.0,1,0,1,1,0,1,-3,-4,10,18,-8,6,7,-1,1569,1577,-8,59000000,57000000,1,1,1,1
2024,1249352,2,Fecha inválida,Novara,Atalanta II,0,3,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0,0,1,0,0,0.0,0.0,0,0,0,1,1,2,0,1,0,1,2,1.0,2.0,0,1,1,0,1,1,0.0,0.0,0,2,2,2,2,0,1,1,14,5,9,8,8,0,1513,1504,9,53000000,54000000,0,0,1,0
2024,1249351,2,Fecha inválida,Lumezzane,PRO Vercelli,0,2,3,1,0,0,1,0,1,0,3,1,0,1.0,0.0,1,0,0,1,0,0,0.0,1.0,3,1,0,0,1,0,1,0,3,1,0,1.0,0.0,1,0,0,1,0,0,1.0,0.0,0,1,3,3,1,0,0,0,10,7,3,7,5,2,1589,1526,63,59000000,56000000,0,1,1,0
2024,1249353,2,Fecha inválida,Pergolettese,Vicenza Virtus,0,1,0,0,0,1,0,1,0,1,0,0,1,0.0,1.0,0,0,0,0,0,0,0.0,0.0,1,0,1,0,2,2,0,0,1,2,2,2.0,2.0,0,1,1,0,1,1,0.0,0.0,0,1,5,5,1,0,-1,-1,1,5,-4,5,6,-1,1580,1584,-4,50000000,54000000,2,0,0,0
2024,1249349,2,Fecha inválida,Caldiero Terme,Padova,0,2,3,1,0,0,3,2,1,0,3,3,2,3.0,2.0,0,1,1,0,1,1,0.0,1.0,3,1,0,0,3,0,1,0,3,3,0,3.0,0.0,1,0,1,1,0,1,1.0,0.0,1,0,2,2,0,1,0,-2,6,11,-5,8,5,3,1565,1570,-5,55000000,50000000,0,0,1,0
2024,1249355,2,Fecha inválida,Trento,Lecco,1,1,0,0,0,1,0,3,0,1,0,0,3,0.0,3.0,0,0,1,0,0,1,0.0,0.0,3,1,0,0,1,0,1,0,3,1,0,1.0,0.0,1,0,0,1,0,0,1.0,0.0,4,1,1,1,1,4,-3,-4,8,20,-12,5,7,-2,1547,1579,-32,57000000,59000000,2,1,1,1
2024,1249348,2,Fecha inválida,Arzignano Valchiampo,Albinoleffe,1,1,0,0,0,1,0,3,0,1,0,0,3,0.0,3.0,0,0,1,0,0,1,0.0,0.0,0,0,0,1,2,3,0,1,0,2,3,2.0,3.0,0,1,1,0,1,1,0.0,0.0,2,3,1,1,3,2,0,-2,19,20,-1,9,9,0,1578,1579,-1,58000000,59000000,0,0,0,1
2024,1249363,3,Fecha inválida,Pro Patria,Feralpisalo,0,0,1,0,1,1,1,2,0,1,1,1,2,0.5,1.0,0,1,0,0,1,0,0.0,0.0,1,0,1,1,0,1,0,0,1,0,1,0.0,0.5,1,0,0,1,0,0,0.0,0.0,2,3,2,2,3,2,0,0,7,5,2,6,6,0,1506,1584,-78,56000000,54000000,2,2,0,0
2024,1249366,3,Fecha inválida,Virtus Verona,Novara,1,0,1,0,1,1,0,1,0,1,1,0,1,0.0,0.5,1,0,0,1,0,0,0.0,0.0,1,0,1,1,0,3,0,0,1,0,3,0.0,1.5,1,0,1,1,0,1,0.0,0.0,2,2,3,3,2,2,0,2,8,14,-6,7,6,1,1507,1513,-6,57000000,53000000,0,0,1,1
2024,1249361,3,Fecha inválida,Lecco,Lumezzane,1,1,4,1,1,0,2,1,1,0,4,2,1,1.0,0.5,1,1,0,1,1,0,1.0,0.0,3,1,0,1,1,2,1,0,3,1,2,0.5,1.0,1,0,0,1,0,0,0.0,1.0,0,1,1,1,1,0,1,2,20,10,10,6,6,0,1579,1589,-10,59000000,59000000,1,0,1,1
2024,1249362,3,Fecha inválida,Pergolettese,Clodiense,2,2,0,0,0,2,0,2,0,2,0,0,2,0.0,1.0,0,0,0,0,0,0,0.0,0.0,3,1,0,1,1,1,0,1,3,1,1,0.5,0.5,1,0,0,1,0,0,1.0,0.0,0,2,0,0,2,0,-3,-2,1,10,-9,6,6,0,1580,1569,11,50000000,59000000,2,1,0,1
2024,1249358,3,Fecha inválida,Alcione,Renate,0,1,4,1,1,0,2,1,1,0,4,2,1,1.0,0.5,1,1,1,1,1,1,0.0,1.0,6,2,0,0,2,0,2,0,6,2,0,1.0,0.0,2,0,0,2,0,0,1.0,1.0,1,0,1,1,0,1,-2,-1,5,16,-11,7,7,0,1524,1575,-51,54000000,55000000,1,2,0,1
2024,1249360,3,Fecha inválida,Atalanta II,Trento,1,1,3,1,0,1,4,2,0,1,3,4,2,2.0,1.0,1,1,2,1,1,2,0.0,1.0,1,0,1,1,1,4,0,1,1,1,4,0.5,2.0,0,1,1,0,1,1,0.0,0.0,2,3,0,0,3,2,2,5,5,8,-3,6,6,0,1504,1547,-43,54000000,57000000,0,2,0,1
2024,1249357,3,Fecha inválida,Albinoleffe,Vicenza Virtus,1,1,1,0,1,1,3,4,0,1,1,3,4,1.5,2.0,0,2,1,0,2,1,0.0,0.0,4,1,1,0,3,2,0,0,4,3,2,1.5,1.0,1,1,1,1,1,1,0.0,1.0,0,8,2,2,8,0,-3,-2,20,5,15,5,6,-1,1579,1584,-5,59000000,54000000,0,0,1,0
2024,1249364,3,Fecha inválida,PRO Vercelli,Giana Erminio,0,1,6,2,0,0,3,0,2,0,6,3,0,1.5,0.0,2,0,0,2,0,0,1.0,1.0,2,0,2,0,3,3,0,0,2,3,3,1.5,1.5,0,2,1,0,2,1,0.0,0.0,5,3,4,4,3,5,4,3,7,6,1,7,8,-1,1526,1565,-39,56000000,55000000,1,1,0,1
2024,1249365,3,Fecha inválida,Triestina,Caldiero Terme,0,1,3,1,0,1,3,1,1,0,3,3,1,1.5,0.5,1,0,1,1,0,1,1.0,0.0,3,1,0,1,3,4,1,0,3,3,4,1.5,2.0,0,1,1,0,1,1,0.0,1.0,1,0,1,1,0,1,0,3,18,6,12,7,7,0,1577,1565,12,57000000,55000000,1,0,1,1
2024,1249359,3,Fecha inválida,Arzignano Valchiampo,Padova,1,4,1,0,1,1,1,4,0,1,1,1,4,0.5,2.0,0,1,1,0,1,1,0.0,0.0,6,2,0,0,5,0,2,0,6,5,0,2.5,0.0,2,0,1,2,0,1,1.0,1.0,0,3,5,5,3,0,-5,-8,19,11,8,6,7,-1,1578,1570,8,58000000,50000000,0,0,0,0
